"Sentence","Mark #1","Mark #2","Mark #3","Mark #4","Mark #4","Evaluator #1","Evaluator #2","Evaluator #3","Evaluator #4","Evaluator #5"
"Лишь бы это не привело к печальным итогам.","negative","negative","negative",,,11,3,14,,
"Хотелось бы, конечно, и самому посмотреть сочинские объекты…","neutral","neutral","neutral",,,11,3,14,,
"Но я маме не говорила, боялась, что ей плохо с сердцем станет,","negative","negative","negative",,,11,3,14,,
"Строительство забора длинной 1125 км обойдётся в 1,2 миллиардов долларов.","neutral","neutral","neutral",,,11,3,14,,
"Дело в том, что всю весну почти не выпадало осадков, земля пересохла и пищи птицам стало не хватать.","negative","negative","negative",,,11,3,14,,
"Завод Дерипаски в Пикалёво оказался на грани остановки","negative","negative","negative",,,11,3,14,,
"Последний из череды подобных эпизодов - неудачный запуск ракеты-носителя «Протон-М», которая должна была 7 августа вывести на орбиту спутники связи «Экспресс-МД2» и Telkom-3.","negative","negative","negative",,,11,3,14,,
"Правительство помогает регионам, а они жалуются","mixed","mixed","mixed",,,11,3,14,,
"вы бы вопрос изучили прежде, чем так комментировать, а то глупо выглядит.","negative","negative","negative",,,11,3,14,,
"Стоимость билетов на «корабль спасения», как и в голливудском фильме, оказалась заоблачной — от 20 млн долларов.","neutral","negative","negative",,,11,3,14,,
"Про девочку, чье детство пришлось на годы Иранской революции, а юность - на установление в родном Тегеране исламского режима.","neutral","neutral","negative",,,11,3,14,,
"Он должен был прибыть в Стокгольм 17 марта на двусторонний саммит.","neutral","neutral","neutral",,,11,3,14,,
"Результат: остаётся вопрос, что же хотел сказать Михалков?","neutral","neutral","neutral",,,11,3,14,,
"Тут, конечно, очень помогает формальный подход.","neutral","positive","neutral",,,11,3,14,,
"Как бы хотелось вас всех обнять, знакомых и незнакомых, далёких и близких!","positive","positive","positive",,,11,3,14,,
"США решили отменить летний визит Обамы в Россию","neutral","neutral","negative",,,11,3,14,,
"Гарантии стабильности сегодня — наиболее важное условие для обеспечения интересов страны, — цитирует NEWSru.com Берлускони.","neutral","neutral","neutral",,,11,3,14,,
"Уголовное дело было возбуждено по заявлению заместителя генерального директора УГМК Петра Ямова на имя руководителя антикоррупционного подразделения МВД генерала Дениса Сугробова.","neutral","neutral","neutral",,,11,3,14,,
"Прежде всего должны быть отменены некоторые правила, относящиеся к обмену валюты, например, до сих пор ещё необходимый валютный резерв на счетах Центрального банка при валютных операциях и обязательное использование транзитных счетов для всех валютных поступлений российских предприятий.","neutral","neutral","neutral",,,11,3,14,,
"Кроме того, секретной будет являться информация о финансировании деятельности по борьбе с терроризмом, о средствах, источниках, методах, планах и результатах такой деятельности, о формах, методах и условиях организации и планирования террористической деятельности, о результатах финансового мониторинга в отношении организаций и физических лиц, полученных в связи с проверкой их возможной причастности к террористической (экстремистской) деятельности.","neutral","neutral","neutral",,,11,3,14,,
"А это одна из главных причин нахождения Лужкова (и не только) у власти.","neutral","neutral","neutral",,,11,3,14,,
"Перечень профессий, представителям которых банки хуже всего выдают ипотечные кредиты, составлен экспертами компании Penny Lane Realty.","neutral","neutral","neutral",,,11,3,14,,
"Первый клиент для Telegram на iOS был представлен в августе 2013 года.","neutral","neutral","neutral",,,11,3,14,,
"Два феминистских историка, Элизабет Мейсон-Холь и Кейт Кэмпбелл Херд-Мид, писали о Тротуле в 1930-40х годах.","neutral","neutral","neutral",,,11,3,14,,
"Потому что даже такой ограниченный вариант обсерваторию загубит, при этом и жилой комплекс теряет остатки потребительских качеств.","negative","negative","negative",,,11,3,14,,
"На одном из участков разрушено полотно железной дороги.","negative","negative","negative",,,11,3,14,,
"""... человеческий мозг, вероятно. уже слишком велик, чтобы он мог эффективно использовать все средства, доступные ему анатомически....","neutral","negative","neutral",,,11,3,14,,
"Европе следует думать не о снижении зависимости, а о безопасности поставок, включая варианты доставки в обход Украины, заявил он в интервью Reuters.","neutral","neutral","neutral",,,11,3,14,,
"Предприниматели продают объекты недвижимости в центре Риги и Таллина иногда на 30% дешевле, нежели год назад.","neutral","neutral","neutral",,,11,3,14,,
"Так что все будет здорово, — заявил он.","positive","neutral","positive",,,11,3,14,,
"Можно предположить, что спор за главный и единственный приз, звание победителя «Евровидения-2009», поведут между собой Норвегия, Турция, Азербайджан, Греция и Эстония.","neutral","neutral","neutral",,,11,3,14,,
"В особо сложных случаях ― на фонарях.","neutral","neutral","neutral",,,11,3,14,,
"И новые Штрумы всё подписывают верноподданнические письма, выискивая себе этические оправдания…","neutral","negative","negative",,,11,3,14,,
"Ещё Google Voice умеет работать с входящими звонками.","neutral","positive","positive",,,11,3,14,,
"Ранее на тему допинга в России высказывались прыгунья в длину Джейд Джонсон, бегун Дэй Грин и главный тренер сборной Великобритании по легкой атлетике Петер Эрикссон.","neutral","neutral","neutral",,,11,3,14,,
"А у нас тогда английский был слишком далек, это было бесполезно.","neutral","negative","negative",,,11,3,14,,
"В катастрофе погиб президент Польши Лех Качиньский и его супруга, а также многие высокопоставленные политики страны.","negative","neutral","negative",,,11,3,14,,
"Поразительно, что они пытаются регулировать жизнь в точности по образцу поздней советской власти, также не терпевшей ничего ночного и допускавшего только те ночные мероприятия, которые сохранились от более раннего периода в силу традиции (выпускной в школах с обязательной встречей рассвета или прощальный костёр в Артеке).","neutral","negative","neutral",,,11,3,14,,
"Отказ будет действительным только если заявление об отказе будет размещено на сайте Минкультуры (ранее предполагалось, что на сайте Роспатента).","neutral","neutral","neutral",,,11,3,14,,
"Россия и США сегодня проведут переговоры по вопросам поставок мяса птицы.","neutral","neutral","neutral",,,11,3,14,,
"Взять хотя бы эту картинку из Facebook.","neutral","positive","neutral",,,11,3,14,,
"Всегда было приятно посмотреть что-то новое.","positive","positive","positive",,,11,3,14,,
"Обнародование бывший майором государственной охраны Николаем Мельниченко записей, сделанных в кабинете президента Украины, из которых можно было сделать вывод, что журналист был «заказан», вызвало политический кризис в стране.","negative","negative","neutral",,,11,3,14,,
"Во что она превратилась за эти 36 лет?","neutral","negative","negative","mixed",,11,3,14,,
"Во Владивостоке состоялся несанкционированный митинг протеста","neutral","neutral","negative",,,11,3,14,,
"Известный артист Леонид Ярмольник в среду во время ток-шоу""Прямой эфир""с Борисом Корчевниковым на канале""Россия-1""был вынужден покинуть студию после антисемитского выпада одного из участников шоу против него.","negative","neutral","negative",,,11,3,14,,
"Мы запросто можем обмениваться информацией при помощи сотовых телефонов, чятиков, бложиков, электронной почты, и так далее.","neutral","positive","neutral",,,11,3,14,,
"Оперу пронизывают удивительно красивые мелодии (объединяющие простоту песни, театральность оперы и возвышенность мессы), инструментовка прозрачна, среди солистов нет низких голосов, а мажор лишь изредка уступает место минору.","positive","positive","positive",,,11,3,14,,
"Теперь возможно в настройках сделать информацию всегда открытой!","neutral","positive","positive",,,11,3,14,,
"Всё говорится прямо, искренне, открыто — и почти гениально.","positive","positive","positive",,,11,3,14,,
"Его отец пропал без вести, ушел на фронт еще до рождения сына.","neutral","negative","negative",,,11,3,14,,
"Олег Васильев, который был задержан сегодня у Таганского суда, на""Скорой помощи""едет в 1-ую Градскую больницу.","neutral","neutral","negative",,,11,3,14,,
"Не могу сказать про самую любимую.","neutral","neutral","neutral",,,11,3,14,,
"В новом фильме “Гранд “Отель Будапешт” они гурьбой ворвались в Восточную Европу.","neutral","neutral","negative",,,11,3,14,,
"Быть геем очень опасно для жизни","negative","negative","negative",,,11,3,14,,
"Он сказал, что эксперимент «вошёл в историю».","neutral","neutral","positive",,,11,3,14,,
"По раскрытой карте передвигаются двое, оставляя за собой маленькие точки, в которых существуют некие истории.","neutral","neutral","neutral",,,11,3,14,,
"Кроме разве что Афганистана, но оттуда НАТО уйдёт в 2014 году.","neutral","neutral","neutral",,,11,3,14,,
"Проведенные Генпрокуратурой РФ проверки выявили множества случаев необоснованного завышения цен на продукты и медикаменты.","negative","negative","negative",,,11,3,14,,
"Сейчас они расширили географию своих работ и занимаются рядом объектов в олимпийском Сочи.","neutral","positive","positive",,,11,3,14,,
"В свое время Чалый сам рекомендовал президенту РФ Владимиру Путину назначить Меняйло на свое место, и теперь и.о. губернатора воспринял обвинения как упреки в свой адрес.","negative","negative","negative",,,11,3,14,,
"Если вы чувствуете себя никому не нужным, то так и есть, и что-то стоит с этим сделать.","negative","negative","negative",,,11,3,14,,
"Проведение референдума стало следствием подписанного в 2005 году договора о мирном урегулировании, который остановил затяжную и кровопролитную гражданскую войну, унёсшую жизни более 2 млн человек, и стал первым шагом на пути южан к независимости.","mixed","mixed","mixed",,,11,3,14,,
"Общие знания пользователи интернета по преимуществу предпочитают искать посредством Google, но искать решение конкретных житейских проблем все привыкли по старинке — среди знакомых, то есть в реальной сети социальных связей, онлайновой калькой которой являются социальные сети.","neutral","neutral","neutral",,,11,3,14,,
"В воскресенье утром войсковые части, сосредоточенные у столицы Гондураса Тегусигальпы, вошли в город, окружили дворец президента, арестовали его и отвезли на военную базу.","neutral","neutral","negative",,,11,3,14,,
"Многие из них явно были иностранцами самого разного пошива, от офисных клерков до хиппи, но примерно столько же было и отечественных девушек, разговаривавших с этими самыми иностранцами или между собой.","neutral","neutral","neutral",,,11,3,14,,
"И ведь найдут как — к гадалке не ходить.","neutral","doubrful","neutral",,,11,3,14,,
"Это второй в Австралии забор, защищающий жителей от животных.","neutral","neutral","neutral",,,11,3,14,,
"В первую очередь тяжело заставить себя начать тренировку вообще...","negative","negative","neutral",,,11,3,14,,
"После катастрофы шаттла «Колумбии» (STS-107) и последующего не вполне удачного полёта «Дискавери» (STS-114), NASA подверглась серьёзной критики, и глава NASA Майкл Гриффин даже заявил, что пилотируемая программа США и МКС были ошибкой.","negative","negative","negative",,,11,3,14,,
"А что касается москвичей, то они, подозреваю, рассуждают (или не вполне рефлексивно ощущают) примерно так.","neutral","negative","neutral",,,11,3,14,,
"Очень неожиданно меняется главный герой книги, преодолевающий всевозможные препятствия, оказывающийся перед нравственным выбором.","neutral","neutral","positive",,,11,3,14,,
"Американцы возвращаются к более простым космическим системам.","neutral","neutral","neutral",,,11,3,14,,
"Британский суд оставил в силе запрет на ношение медработниками нательного креста.","neutral","neutral","negative",,,11,3,14,,
"Перед этим была еще «Прогулка» Алексея Учителя, но поскольку там финал переворачивал всю историю вверх дном, фильм не подходит под этот жанр.","neutral","neutral","negative",,,11,3,14,,
"Но откуда у специалистов возникла уверенность, что эти «новые» модели кому-то будут нужны через 2,5 года?","neutral","negative","neutral",,,11,3,14,,
"К тому ж это хищение, так понимаю, государственное, что тем более недостойно президента как гаранта законности и правопорядка.","negative","negative","negative",,,11,3,14,,
"Более того, в медицине даже появился новый диагноз — так называемый синдром компьютерного зрения.","neutral","neutral","negative",,,11,3,14,,
"цитирует NEWSru.com худрука и балетмейстера театра музыки и танца""Щелкунчик""Аллу Строилову.","neutral","neutral","neutral",,,11,3,14,,
"Да и литература США имеет в анамнезе постколониальное происхождение и до сих пор развивается с полемической оглядкой на несколько чопорную британскую традицию.","neutral","neutral","negative",,,11,3,14,,
"Так, авторы предлагают вставить в закон «Об информации...» несколько новых статей, сменив нумерацию уже существующих — это существенно затруднит чтение закона и сопутствующей литературы, поскольку читающему придётся постоянно держать в голове старую и новую редакции, чтобы понять, какая из статей с определённым номером имеется в виду — та, что до внесения изменений, или та, что после.","neutral","negative","neutral",,,11,3,14,,
"Известно, что сборка шкафа шведского производства ИКЕА — очень хороший тест на прочность отношений.","positive","doubrful","positive",,,11,3,14,,
"Бизнес губительный фактор для творчества или способствующий выжить?","mixed","mixed","mixed",,,11,3,14,,
"Как выясняется, под удар российскую индустрию туризма поставили не только беспорядки в стране фараонов, где, как надеется Ростуризм, к 1 сентября не останется ни одного россиянина.","negative","negative","negative",,,11,3,14,,
"Премьер-министр Японии сформировал новое правительство страны.","neutral","neutral","neutral",,,11,3,14,,
"По сведениям, стоит ему появиться в редакции «Новой газеты», непременно исчезнет какая-нибудь книга.","negative","neutral","negative",,,11,3,14,,
"Сухарики с ароматизаторами — явно не для среднего класса.","neutral","negative","negative",,,11,3,14,,
"В конце XIX века в одном Новом Южном Уэльсе фермеры ежегодно расходовали на борьбу с дикими собаками несколько тонн стрихнина.","neutral","neutral","neutral",,,11,3,14,,
"Перед парламентом выступят, в частности, глава Службы безопасности Украины (СБУ) Валентин Наливайченко, глава МВД Арсен Аваков, и.о. министра обороны Михаил Коваль и и.о. генпрокурора Олег Махницкий.","neutral","neutral","neutral",,,11,3,14,,
"По данным издания, покинуть Украину обязали военного атташе по вопросам обороны Филипа Раду и секретаря генконсульства Румынии в Черновцах Юстиниана Фокша.","neutral","neutral","negative",,,11,3,14,,
"Очевидно, что поведение игроков и чиновников определяются руководством Илюмжинова.","neutral","neutral","neutral",,,11,3,14,,
"Для ведения качественных наблюдений запылённость, загазованность и турбулентность атмосферы в месте наблюдения должны быть как можно ниже.","neutral","neutral","neutral",,,11,3,14,,
"Вплоть, как уже говорилось, до решения со всем этим разом покончить...","neutral","neutral","neutral",,,11,3,14,,
"Дескать, если человек, изначально призванный защищать спокойствие и порядок, внезапно начинает бросаться с кулаками на своих коллег — в любой стране мира, — он не имеет права занимать высокий пост.","negative","negative","negative",,,11,3,14,,
"Второй может оказаться  Moblin, анонсированная на Computex'2009 и разрабатываемая при поддержке IBM.","neutral","neutral","neutral",,,11,3,14,,
"Однако прежде всего книга является устройством, предназначенным для передачи информации, хотя его внешний вид и технические характеристики с годами радикально менялись: книги писали на каменных плитах, на глиняных табличках, на выделанных шкурах животных, на папирусе...","neutral","neutral","neutral",,,11,3,14,,
"Учитывая практическую реальность (что показал нам и Таджикистан в 1991 — 1992 годах) переброски «афганского пожара» на постсоветскую Центральную Азию, нельзя исключать появление мощного исламистского фронта непосредственно у границ России.","neutral","neutral","neutral",,,11,3,14,,
"Это решение приняло авторитетнейшее жюри в составе Жан-Юбера Мартена (куратора следующей Московской биеннале современного искусства), Фридхельма Хютте (Deutsche Bank), Валери Хиллингс (Фонд Гуггенхайма), Александра Боровского (Русский музей), Андрея Ерофеева и Екатерины Бобринской.","neutral","positive","neutral",,,11,3,14,,
"В результате этого сотрудничества множество значительных произведений немецкой литературы, а также уникальные издания станут доступны для миллионов читателей во всем мире.","neutral","positive","positive",,,11,3,14,,
"В разнообразных изданиях буква Ё часто пишется как «Е», однако существует большое количество русских слов, которые трудно понять, когда «Ё» в них заменено на «Е».","neutral","negative","neutral",,,11,3,14,,
"Но главный удручающий момент состоял в отсутствии концепции, противостоящей гламуру, то есть демонстративному потреблению роскоши в качестве стиля и смысла жизни.","negative","negative","negative",,,11,3,14,,
"Google и его библиотечный проект большинство представителей издательской индустрии описывали не иначе как «изменим мир напалмом».","neutral","negative","negative",,,11,3,14,,
"А отсюда прямиком следует то, что не понравилось больше всего: изменение эстетики Готэма.","negative","negative","negative",,,11,3,14,,
"Необходимое количество чистых веществ по массе слишком много даже для 747 jet.","neutral","negative","neutral",,,11,3,14,,
"В аварийной ситуации оказалось несколько автомобильных мостов.","neutral","neutral","negative",,,11,3,14,,
"У других были серьезные ранения от битого стекла и переломы.","negative","neutral","negative",,,11,3,14,,
"И вот теперь, что логично предположить, Google Voice может дать пользователям что-то ещё помимо входящего телефонного номера в США и возможности расшифровки голосовой почты.","neutral","positive","neutral",,,11,3,14,,
"Одной из недавних театральных ролей, отмеченных призами, стал князь К. в «Дядюшкином сне» по Ф.М. Достоевскому.","neutral","positive","positive",,,11,3,14,,
"Что, есть ещё деятельность, связанная не «тесно»?","neutral","negative","neutral",,,11,3,14,,
"Шесть лет позже Тейлор повторила успех получив Оскара за роль в киноленте «Кто боится Вирджинии Вульф?»","neutral","positive","positive",,,11,3,14,,
"Революции, войны, репрессии – первый удар по ним.","neutral","negative","negative",,,11,3,14,,
"Но экологические проблемы Австралии связаны не только с кроликами.","neutral","negative","negative",,,11,3,14,,
"Выше России в индексе находятся: Молдавия — 85 место, Грузия — 89, Армения — 101, Украина — 105, Таджикистан — 117, Киргизия — 123, Казахстан — 128 и Азербайджан — 135.","neutral","neutral","neutral",,,11,3,14,,
"Остаётся узнать в каких-нибудь «других новостях», где обитают столь же множественные грамотные производители товаров и исполнители профессиональных услуг, формирователи социальных отношений и делатели социальных перспектив, которые изо дня в день, из часа в час работают над повышением меры цивилизованности нашей российской цивилизации.","neutral","positive","neutral",,,11,3,14,,
"Опять же бедные чувствуют, что президент о них не забывает.","neutral","positive","positive",,,11,3,14,,
"Поэтому мы охотно идем на такие очень серьезные грандиозные проекты, как газовый контракт.","neutral","positive","positive",,,11,3,14,,
"Чтоб с плантаций сразу в рай.","neutral","positive","neutral",,,11,3,14,,
"Если ее голос однообразно тусклый от горя, или напряжено звенящий от тревоги?","negative","negative","negative",,,11,3,14,,
"Примерами таких журналов могут быть уже зарекомендовавшие себя западные издания PLoS, PeerJ, F1000Research.","neutral","positive","neutral",,,11,3,14,,
"Так что западные влияния явно преобладают.","neutral","neutral","neutral",,,11,3,14,,
"Главным «уроком» Афганистана является неадекватность наших представлений о нем.","neutral","negative","negative",,,11,3,14,,
"Думаю, беспричинно никто никого наказывать не будет.","neutral","positive","neutral",,,11,3,14,,
"Это стало известно от ведущих с Парижем переговоры посланников полковника.","neutral","neutral","neutral",,,11,3,14,,
"Во-вторых, гораздо полезнее высветить и инвентаризировать проблемные точки.","neutral","positive","positive",,,11,3,14,,
"Не исключено, что в нише нетбуков у Google это получится.","neutral","positive","positive",,,11,3,14,,
"Говорят, что черти и лешие обязательно женятся на рыжих.","neutral","neutral","negative",,,11,3,14,,
"Но они не добрали 20 мест до единоличного большинства в 326.","neutral","negative","negative",,,11,3,14,,
"Аналитики сходятся в том, что результатом плебисцита станет разделение Судана на два государства.","neutral","neutral","negative",,,11,3,14,,
"Но в последнее время появились предположения о том, что сотрудники издания прослушивали не только знаменитостей.","neutral","negative","negative",,,11,3,14,,
"Мемуары Аствацатурова посвящены заурядным событиям заурядной жизни.","neutral","neutral","negative",,,11,3,14,,
"Дефицит гениальных, артистичных, сложных и противоречивых злодеев говорит и о дефиците сложных, неординарных героев вообще.","negative","negative","negative",,,11,3,14,,
"Хотя и мимикрируют под россыпь более частных тем.","neutral","doubrful","neutral",,,11,3,14,,
"Берлускони пообещал, что пойдёт на уступки ради получения одобрения своей политики в парламенте.","positive","neutral","positive",,,11,3,14,,
"На площади перед Домом правительства в Бишкеке собрались сторонники оппозиции, которые периодически штурмуют ворота здания.","neutral","neutral","negative",,,11,3,14,,
"Не знаю, что бы мне пришлось учить на пятом курсе, но это было бы чертовски скучно и хуёво.","negative","negative","negative",,,11,3,14,,
"В костюме и шлеме автогонщика в гоночной машине.","neutral","neutral","neutral",,,11,3,14,,
"""Суд постановил назначить наказание в виде административного ареста сроком на 5 суток"",","neutral","neutral","negative",,,11,3,14,,
"Однако российский премьер похвалил американские власти за то, что они сумели поднять планку госдолга и избежать дефолта.","positive","positive","positive",,,11,3,14,,
"Как рассказали позже участники акции, они выступают против того, чтобы номинальной главой страны считались английские монархи.","neutral","neutral","neutral",,,11,3,14,,
"• Ханс Шлегель (Германия) (14.12.54), 2-й полёт","doubrful","neutral","neutral",,,11,3,14,,
"Никита Сергеич опять проиграл, что понятно даже по первым рапортам из кинотеатров, директора которых плачут, что залы пустые.","negative","negative","negative",,,11,3,14,,
"К премьере «Лазаря» театр запускает просветительский проект «Премьера: инструкция по применению».","neutral","neutral","positive",,,11,3,14,,
"Решение отправиться за мужем в Сибирь не было спонтанным и легким, Наталья Дмитриевна много молилась, плакала, думала о том, верно ли она поступает, оставляя малышей на попечении пожилых родителей, но","negative","doubrful","negative",,,11,3,14,,
"Но мы должны ясно сказать руководству России, что она не может рассчитывать на действительное партнёрство с Западом до тех пор, пока её действия как внутри страны, так и за границей противоречат принципиальным ценностям евроатлантической демократии.","negative","negative","negative",,,11,3,14,,
"Несколько десятков задержанных подавали апелляции в районные суды, однако жалобы были оставлены без удовлетворения.","negative","negative","negative",,,11,3,14,,
"Результат выборов однозначен — победа Кирсана Илюмжинова.","neutral","neutral","neutral",,,11,3,14,,
"Это делает совершенно бессмысленной всю их игру с акциями и распродажами.","negative","negative","negative",,,11,3,14,,
"Такому специалисту требуются расширенные функции головного мозга, поэтому его подготовка занимает существенное время и месячные курсы здесь не помогут.","neutral","negative","neutral",,,11,3,14,,
"Я такой родитель, что не балую их игрушками и сладостями.","neutral","neutral","doubrful",,,11,3,14,,
"Начинается некий сон, и мы тогда смотрим на тело иначе.","neutral","neutral","neutral",,,11,3,14,,
"GPS как работал, так и работает.","neutral","positive","neutral",,,11,3,14,,
"Но ведь никто не имеет права лишать ее возможности быть активной.","neutral","negative","neutral",,,11,3,14,,
"После чего ситуация стала откровенно абсурдной.","neutral","negative","negative",,,11,3,14,,
"Всё для народа, ничего вне народа, ничего против народа.","neutral","positive","positive",,,11,3,14,,
"Последний восьмой солдат погиб, когда бронемашина в которой он ехал была поражена из гранатомета.","negative","negative","negative",,,11,3,14,,
"И родительствовали они со страшной силой и по полной программе.","neutral","negative","negative",,,11,3,14,,
"Утверждалось, что через год после этого число активных пользователей мессенджера удвоилось и достигло 800 млн человек.","neutral","neutral","neutral",,,11,3,14,,
"После объявления победителей Никита Сергеич устроил на пресс-конференции форменную истерику.","negative","negative","negative",,,11,3,14,,
"Проблема заключалась в том, что субподрядные организации фактически сорвали сроки исполнения контракта.","negative","negative","negative",,,11,3,14,,
"Она, как полагают, была врачом в так называемой школе Салерно.","neutral","neutral","neutral",,,11,3,14,,
"В таких условиях сложно донести до людей четкую и научно обоснованную точку зрения.","negative","negative","negative",,,11,3,14,,
"отметил он, выразив надежду, что""конфликт на Украине будет урегулирован исключительно мирными средствами, а украинские эксперты смогут принять участие в московской конференции в последующие годы"".","neutral","neutral","positive",,,11,3,14,,
"Кроме того, Европа настолько ослабела в военном отношении, что становится бесполезна в качестве союзника даже в том фантастическом случае, если у неё вдруг возникнет желание спасать нас от Китая.","negative","negative","negative",,,11,3,14,,
"В Москве Алекс с женой и соавтором Элиссон Грей сделали презентацию выставки в галерее Врублевской, продемонстрировали мистериальную постановку в одном из московских клубов, а 21 и 22 июня в рамках XVII Всемирного трансперсонального конгресса состоится практический семинар Алекса и Элиссон Грей «Визионёрское искусство».","neutral","neutral","neutral",,,11,3,14,,
"С возрастом детям становится всё более интересен и интернет: его регулярно посещают 15% младших школьников и почти 60% подростков.","neutral","neutral","neutral",,,11,3,14,,
"Парфёнов же произвёл революцию в интонировании телевизионной речи.","neutral","positive","positive",,,11,3,14,,
"Так и тут: вопрос построен на анекдоте, предполагающем, что в США действует метрическая система и масса измеряется в килограммах.","neutral","neutral","neutral",,,11,3,14,,
"Умение работать с малыми и рассеянными ресурсами","neutral","neutral","neutral",,,11,3,14,,
"В нем участник должен был продемонстрировать все свои навыки и способности и убедить членов жюри и зрителей в том, что именно он будет лучшим смотрителем на острове Гамильтон.","neutral","neutral","neutral",,,11,3,14,,
"А ведь ещё (вот свинство) и речь толкать придётся.","negative","negative","negative",,,11,3,14,,
"Да, разработки в России время от времени закрываются.","negative","negative","negative",,,11,3,14,,
"В отсутствии официальных выводов комиссии, разбирающейся в причинах вчерашнего ЧП, эксперты продолжают выдвигать версии произошедшего.","neutral","neutral","negative",,,11,3,14,,
"Но архетипы, имеющие хождение во всеобщем доступе, не могут не оказать воздействия хотя бы на подсознание и хотя бы в замедленном режиме.","neutral","neutral","neutral",,,11,3,14,,
"Многие мировые СМИ опубликовали сегодня важное сообщение о том, что Северная Корея отказалась от идей коммунизма и вычеркнула это слово из Конституции государства.","neutral","neutral","negative",,,11,3,14,,
"Тем временем авиация НАТО усиливает атаки на Триполи.","neutral","neutral","negative",,,11,3,14,,
"""Подобные прецеденты будут способствовать формированию в России по-настоящему цивилизованного рынка цифрового контента"",","positive","positive","positive",,,11,3,14,,
"Минарет был метрах в 500, но там же автоматизация — на 4 стороны висят приличные колокольчики и мулла в микрофон в 5 утра орёт как резаный.","negative","negative","neutral",,,11,3,14,,
"Россия занимает 147 место из 168.","neutral","neutral","neutral",,,11,3,14,,
"Однако доступность книг по технологиям трансляции в бумажном виде (это случай Ахо, Сети и Ульмана) и качество изложения (это случай некоторых российских книжек - за все отвечать не могу) оставляют желать лучшего.","negative","negative","negative",,,11,3,14,,
